id,english_term,what_it_means,where_it_appears,length_limit,proposed_translation,translator_note,YOUR_CORRECTION,OK_AS_IS,YOUR_COMMENTS
ready_to_assign,Ready to Assign,Money that has arrived but has not yet been given a job. The single most prominent number in the app.,Budget header. Also a docs page title.,tight,Te verdelen,'Klaar om toe te wijzen' is literal but far too long. Confirm 'Te verdelen' vs 'Nog toe te wijzen'.,,,
assign,Assign,To give money a job by moving it into a category.,Primary action verb throughout the budget screen.,tight,Toewijzen,,,,
assigned,Assigned,Budget grid column: how much money was put into this category this month.,Budget table column header. One of the core three (Assigned / Activity / Available).,tight,Toegewezen,,,,
activity,Activity,Budget grid column: money that moved in or out of this category this month.,Budget table column header.,tight,Activiteit,,,,
available,Available,Budget grid column: what is actually left to spend in this category right now.,Budget table column header. The number users check most.,tight,Beschikbaar,,,,
category,Category,"An envelope that holds money for a purpose (Groceries, Rent).",Core object. Docs page title.,tight,Categorie,,,,
category_group,Category Group,A collapsible heading that groups related categories.,Budget screen structure. Docs page title.,normal,Categoriegroep,,,,
budget,Budget,"The plan for a month, and also the top-level container users can have several of.",Everywhere.,tight,Budget,,,,
zero_based_budgeting,Zero-Based Budgeting,The method: every unit of currency gets a job until nothing is unassigned.,"Docs page title, marketing copy.",prose,Zero-based budgetteren,,,,
envelope_method,Envelope Method,The cash-in-envelopes metaphor Budgero digitizes.,Marketing and docs. High SEO value in German.,prose,Enveloppemethode,,,,
overspent,Overspent,A category whose Available has gone negative.,"Budget grid warning state, badges.",tight,Overschreden,,,,
account,Account,"A real-world place money sits (checking, savings, credit card).","Sidebar, docs page title. NOTE: distinct from a user login account — check context before translating.",tight,Rekening,Login account is 'Account' in Dutch — keep distinct.,,,
on_budget,On-budget,An account whose balance feeds Ready to Assign.,"Account settings, account type badges.",normal,In budget,,,,
off_budget,Off-budget,An account tracked for net worth but excluded from budgeting.,Account settings. Inbound transfers from these credit Ready to Assign.,normal,Buiten budget,,,,
transaction,Transaction,A single movement of money.,"Core object, everywhere.",tight,Transactie,,,,
payee,Payee,"Who money went to, or came from.","Transaction table column, transaction form field.",tight,Begunstigde,'Tegenpartij' is the alternative and may be more neutral for both directions.,,,
inflow,Inflow,Money coming in.,"Transaction amount column, transaction form.",tight,Inkomsten,Dutch banking uses 'Bij' for credits — much shorter and highly idiomatic if this is a narrow column.,,,
outflow,Outflow,Money going out.,"Transaction amount column, transaction form.",tight,Uitgaven,Dutch banking uses 'Af' for debits — see inflow note.,,,
cleared,Cleared,A transaction confirmed against the real account.,Transaction status badge.,tight,Bevestigd,,,,
uncleared,Uncleared,A transaction entered but not yet confirmed against the real account.,Transaction status badge.,tight,Niet bevestigd,,,,
reconcile,Reconcile,To confirm the app balance matches the real account balance.,"Account action, dialog title.",normal,Afstemmen,,,,
transfer,Transfer,Movement of money between two of the user's own accounts.,Transaction type.,tight,Overboeking,,,,
split_transaction,Split transaction,One transaction divided across multiple categories.,Transaction editor.,normal,Gesplitste transactie,,,,
goal,Goal,A funding plan attached to a category. Four types across spending and savings flavors.,"Docs page title, category detail. NOTE: distinct from 'target' — a goal HAS a target.",tight,Doel,,,,
target_amount,Target amount,"The number a goal is aiming at. A parameter OF a goal, not a synonym for goal.",Goal editor field.,normal,Doelbedrag,,,,
target_date,Target date,The date a savings goal should be reached by.,Goal editor field.,normal,Streefdatum,,,,
needed_this_month,Needed this month,What a goal requires to stay on track this month.,Goal progress display.,normal,Deze maand nodig,,,,
rule,Rule,An automation that acts on matching transactions.,Rules feature.,tight,Regel,,,,
rules_engine,Rules Engine,The subsystem that evaluates and applies rules.,"Docs page title, settings section.",normal,Regel-engine,,,,
recurring_transaction,Recurring transaction,A transaction scheduled to repeat.,"Docs page title, settings section.",normal,Terugkerende transactie,,,,
net_worth,Net worth,Total assets minus total liabilities.,"Reports, dashboard.",tight,Nettovermogen,,,,
debt_tracking,Debt tracking,Following loan and credit-card balances down to zero.,"Docs page title, feature name.",normal,Schuldenoverzicht,,,,
workspace,Workspace,"A container holding budgets, shareable with other users.","Settings, workspace switcher.",normal,Werkruimte,,,,
master_password,Master Password,The password that derives the encryption key. Cannot be recovered — distinct from the login password.,"Docs page title, onboarding, security settings.",normal,Hoofdwachtwoord,,,,
zero_knowledge,Zero-knowledge,The server cannot read user data. Core product claim.,"Marketing, security docs. High value in the German market.",prose,Zero-knowledge,,,,
end_to_end_encryption,End-to-end encryption,"Data encrypted on device, never readable server-side.","Marketing, security docs.",prose,End-to-end-versleuteling,,,,
self_hosting,Self-hosting,Running Budgero on your own infrastructure.,"Docs page title, marketing.",prose,Zelf hosten,,,,
offline_mode,Offline mode,Full functionality without a network connection.,"Docs page title, marketing.",normal,Offlinemodus,,,,
csv_import,CSV Import,Bringing transactions in from a CSV file.,"Docs page title, data management.",normal,CSV-import,,,,
report,Report,A saved analytical view over transactions.,"Nav item, reports feature.",tight,Rapport,,,,
scenario,Scenario,A what-if projection over the budget.,Scenarios feature.,tight,Scenario,,,,
warranty,Warranty,A tracked product warranty with an expiry.,Warranties feature.,tight,Garantie,,,,
sharing,Sharing,Giving another user access to a budget.,"Docs page title, workspace settings.",normal,Delen,,,,
multi_currency,Multi-currency,Support for accounts and budgets in different currencies.,"Docs page title, marketing. Key differentiator for the EU market.",prose,Multivaluta,,,,
