id,english_term,what_it_means,where_it_appears,length_limit,proposed_translation,translator_note,YOUR_CORRECTION,OK_AS_IS,YOUR_COMMENTS
ready_to_assign,Ready to Assign,Money that has arrived but has not yet been given a job. The single most prominent number in the app.,Budget header. Also a docs page title.,tight,Zu budgetieren,"Alternatives: 'Verfügbar zum Zuweisen' (precise but long), 'Nicht zugewiesen'. Chose the short idiomatic one because this sits in a header. HIGH PRIORITY REVIEW — this is the flagship term.",,,
assign,Assign,To give money a job by moving it into a category.,Primary action verb throughout the budget screen.,tight,Zuweisen,Must stay consistent with ready_to_assign choice.,,,
assigned,Assigned,Budget grid column: how much money was put into this category this month.,Budget table column header. One of the core three (Assigned / Activity / Available).,tight,Zugewiesen,,,,
activity,Activity,Budget grid column: money that moved in or out of this category this month.,Budget table column header.,tight,Aktivität,'Umsatz' is the German banking term for turnover and may read more naturally to a finance audience. Reviewer decision.,,,
available,Available,Budget grid column: what is actually left to spend in this category right now.,Budget table column header. The number users check most.,tight,Verfügbar,,,,
category,Category,"An envelope that holds money for a purpose (Groceries, Rent).",Core object. Docs page title.,tight,Kategorie,Plural: Kategorien,,,
category_group,Category Group,A collapsible heading that groups related categories.,Budget screen structure. Docs page title.,normal,Kategoriengruppe,Confirm 'Kategoriengruppe' vs 'Kategoriegruppe' — both appear in German usage.,,,
budget,Budget,"The plan for a month, and also the top-level container users can have several of.",Everywhere.,tight,Budget,"'Haushaltsplan' is more native but 'Budget' is widely understood and shorter. Note the German market term for this app category is 'Haushaltsbuch' — relevant for marketing copy, probably not for in-app labels.",,,
zero_based_budgeting,Zero-Based Budgeting,The method: every unit of currency gets a job until nothing is unassigned.,"Docs page title, marketing copy.",prose,Zero-Based-Budgeting,German finance media uses the English term (observed as 'Zero-Based-Budget-Ansatz'). 'Nullbasiertes Budgetieren' exists but reads academic.,,,
envelope_method,Envelope Method,The cash-in-envelopes metaphor Budgero digitizes.,Marketing and docs. High SEO value in German.,prose,Umschlagmethode,VERIFIED as the established German term via market research — has its own content ecosystem and search demand. Highest-confidence entry in this file. Adjacent trend term: 'Cashstuffing'.,,,
overspent,Overspent,A category whose Available has gone negative.,"Budget grid warning state, badges.",tight,Überzogen,'Überschritten' (exceeded) is the alternative. 'Überzogen' carries the overdrawn connotation which fits better.,,,
account,Account,"A real-world place money sits (checking, savings, credit card).","Sidebar, docs page title. NOTE: distinct from a user login account — check context before translating.",tight,Konto,Login account is 'Benutzerkonto' — keep distinct.,,,
on_budget,On-budget,An account whose balance feeds Ready to Assign.,"Account settings, account type badges.",normal,Im Budget,,,,
off_budget,Off-budget,An account tracked for net worth but excluded from budgeting.,Account settings. Inbound transfers from these credit Ready to Assign.,normal,Außerhalb des Budgets,"Long. If it appears in a badge, consider 'Extern' or 'Nicht im Budget'.",,,
transaction,Transaction,A single movement of money.,"Core object, everywhere.",tight,Transaktion,'Buchung' or 'Umsatz' are the native banking terms and may read better to German users. Reviewer decision — this term appears constantly.,,,
payee,Payee,"Who money went to, or came from.","Transaction table column, transaction form field.",tight,Empfänger,'Zahlungsempfänger' is precise but 19 chars vs 5 — will break the table column. 'Empfänger' matches German online banking. Note it reads oddly for inflows; consider whether a neutral term works better.,,,
inflow,Inflow,Money coming in.,"Transaction amount column, transaction form.",tight,Einnahme,'Zufluss' is more literal; 'Einnahme' is the everyday term.,,,
outflow,Outflow,Money going out.,"Transaction amount column, transaction form.",tight,Ausgabe,,,,
cleared,Cleared,A transaction confirmed against the real account.,Transaction status badge.,tight,Gebucht,'Gebucht' is the German banking term for posted. 'Bestätigt' is the generic alternative.,,,
uncleared,Uncleared,A transaction entered but not yet confirmed against the real account.,Transaction status badge.,tight,Nicht gebucht,Must mirror the 'cleared' choice.,,,
reconcile,Reconcile,To confirm the app balance matches the real account balance.,"Account action, dialog title.",normal,Abgleichen,Noun form: 'Kontenabgleich'.,,,
transfer,Transfer,Movement of money between two of the user's own accounts.,Transaction type.,tight,Umbuchung,'Überweisung' means a bank transfer to a third party — wrong sense here. 'Umbuchung' is the internal-move sense. Worth a careful review.,,,
split_transaction,Split transaction,One transaction divided across multiple categories.,Transaction editor.,normal,Geteilte Transaktion,,,,
goal,Goal,A funding plan attached to a category. Four types across spending and savings flavors.,"Docs page title, category detail. NOTE: distinct from 'target' — a goal HAS a target.",tight,Ziel,Must stay distinct from target_amount / target_date below.,,,
target_amount,Target amount,"The number a goal is aiming at. A parameter OF a goal, not a synonym for goal.",Goal editor field.,normal,Zielbetrag,,,,
target_date,Target date,The date a savings goal should be reached by.,Goal editor field.,normal,Zieldatum,,,,
needed_this_month,Needed this month,What a goal requires to stay on track this month.,Goal progress display.,normal,Diesen Monat nötig,,,,
rule,Rule,An automation that acts on matching transactions.,Rules feature.,tight,Regel,,,,
rules_engine,Rules Engine,The subsystem that evaluates and applies rules.,"Docs page title, settings section.",normal,Regelwerk,'Regel-Engine' is the anglicized alternative and common in German software UIs.,,,
recurring_transaction,Recurring transaction,A transaction scheduled to repeat.,"Docs page title, settings section.",normal,Wiederkehrende Transaktion,Do NOT use 'Dauerauftrag' — that specifically means a bank standing order.,,,
net_worth,Net worth,Total assets minus total liabilities.,"Reports, dashboard.",tight,Nettovermögen,,,,
debt_tracking,Debt tracking,Following loan and credit-card balances down to zero.,"Docs page title, feature name.",normal,Schuldenverfolgung,Long compound. 'Schuldenübersicht' (debt overview) may read better.,,,
workspace,Workspace,"A container holding budgets, shareable with other users.","Settings, workspace switcher.",normal,Arbeitsbereich,,,,
master_password,Master Password,The password that derives the encryption key. Cannot be recovered — distinct from the login password.,"Docs page title, onboarding, security settings.",normal,Master-Passwort,Keep clearly distinct from 'Anmeldepasswort' (login password) — users conflating these is a support burden.,,,
zero_knowledge,Zero-knowledge,The server cannot read user data. Core product claim.,"Marketing, security docs. High value in the German market.",prose,Zero-Knowledge,Keep English — it's the established technical term in German security writing. Pair with a plain-language gloss on first use.,,,
end_to_end_encryption,End-to-end encryption,"Data encrypted on device, never readable server-side.","Marketing, security docs.",prose,Ende-zu-Ende-Verschlüsselung,"Established German term, widely understood. Strong marketing keyword for the DE privacy segment.",,,
self_hosting,Self-hosting,Running Budgero on your own infrastructure.,"Docs page title, marketing.",prose,Selbst hosten,The English 'Self-Hosting' is also common in German technical writing and may be better for SEO.,,,
offline_mode,Offline mode,Full functionality without a network connection.,"Docs page title, marketing.",normal,Offline-Modus,,,,
csv_import,CSV Import,Bringing transactions in from a CSV file.,"Docs page title, data management.",normal,CSV-Import,,,,
report,Report,A saved analytical view over transactions.,"Nav item, reports feature.",tight,Bericht,,,,
scenario,Scenario,A what-if projection over the budget.,Scenarios feature.,tight,Szenario,,,,
warranty,Warranty,A tracked product warranty with an expiry.,Warranties feature.,tight,Garantie,German distinguishes 'Garantie' (voluntary manufacturer warranty) from 'Gewährleistung' (statutory). Confirm which the feature actually tracks — this is a legally loaded distinction in DE.,,,
sharing,Sharing,Giving another user access to a budget.,"Docs page title, workspace settings.",normal,Freigabe,,,,
multi_currency,Multi-currency,Support for accounts and budgets in different currencies.,"Docs page title, marketing. Key differentiator for the EU market.",prose,Multi-Währung,'Mehrwährungsfähig' is the more native adjective. Reviewer decision.,,,
